asin	1	2	3	4	5
B000OH56ZS	108	29	23	21	70
B000OMKR8E	60	60	113	298	705
B000P0528K	22	22	17	29	118
B000P0528U	18	13	13	40	152
B000P1QJXQ	49	29	20	62	227
B000P708NM	32	15	20	69	245
B000PBW6VK	9	6	4	14	31
B000PVXWZ4	1	1	0	1	18
B000R2PC2M	62	51	63	112	267
B000R6SYKU	13	5	7	14	22
B000SE6IV8	180	99	123	213	693
B000SONAJ6	8	3	19	53	147
B000TDCJHK	2	0	2	17	109
B000TDENA6	5	3	4	13	79
B000TDZOXG	10	13	13	40	231
B000TEVQVO	138	108	148	336	1104
B000TQ4D8K	24	13	38	125	559
B000U07C1U	62	73	96	266	356
B000UVKE2I	332	167	190	422	878
B000V2OQL6	0	1	5	8	122
B000V2SEX2	3	1	2	6	74
B000V2UBS8	1	2	3	26	227
B000V7H1FO	4	1	5	24	56
B000V8RCTS	40	27	27	45	45
B000VZP040	26	28	16	31	49
B000W0ETD2	37	12	28	81	396
B000WG069C	4	9	9	17	55
B000X1XP3U	37	38	45	77	185
B000XPG2QI	296	294	320	612	1848
B000Z80ICM	244	121	168	545	2644
B000ZJZ7OA	42	68	81	285	802
B00118ARTY	1	1	2	0	4
B0011TS8LM	1216	1037	960	1402	3707
B001202C44	118	112	172	636	3756
B00120WRSU	453	153	185	273	610
B0012YHQVE	189	152	216	549	1900
B00133UTRC	39	22	24	69	220
B0013CDZDI	206	88	80	226	674
B0013CXZZ6	393	268	696	1648	5201
B0013J1DI0	12	8	20	50	400
B0013OWPV4	68	112	205	666	1899
B0013P3ZOE	36	68	119	235	940
B0013VCCD8	50	11	8	16	24
B00140DBRY	485	430	541	1427	3991
B00141DTFM	12	0	4	109	193
B0014T7W8Y	208	153	177	372	1024
B001587M02	0	1	4	52	213
B0015A8Y3E	9	12	17	73	435
B0015A8Y5M	105	96	165	660	4004
B0015L0T68	284	172	220	820	1918
B00166VDK8	4	8	24	20	182
B00166VDKS	0	4	6	85	331
B00166VDLC	72	52	12	110	632
B00166ZFSO	128	25	46	148	1095
B00166ZFXO	0	20	20	81	293
B00167340Y	2	0	1	34	129
B0016BQECA	2064	488	640	701	1833
B0016BTHTC	1	2	1	5	9
B0016D1UWC	154	121	136	425	766
B0016IXEWG	169	172	280	451	1450
B0016OEV7C	684	489	829	2587	9789
B00170HCOO	26	13	32	92	831
B00178M1HE	131	60	50	104	81
B0017S37IG	56	78	26	162	380
B0017W3WDC	12	5	17	49	79
B0018782QI	42	31	32	53	165
B0018MRK6Q	0	2	9	12	43
B0018QNYSK	4	5	30	139	709
B0018QNYVM	9	4	12	75	253
B0018QPSDY	1	1	1	12	72
B00192KF12	4	5	6	44	233
B00193U3O0	20	40	105	295	1344
B00198BY48	3	4	13	30	59
B0019DKOVW	14	5	11	45	114
B001ADXR3I	76	26	35	52	101
B001AVRD62	28	25	40	178	710
B001BGGD8A	81	79	123	286	1386
B001C3K7I4	7	1	4	6	76
B001CROHU4	27	7	17	44	284
B001CROHX6	58	48	35	78	419
B001DFTGUQ	10	6	8	32	130
B001DJ64D4	34	16	29	77	231
B001DL71GG	9	3	10	6	27
B001E6ZQ08	40	14	9	5	57
B001E75I6E	48	20	27	54	73
B001EUG3II	129	67	131	412	1460
B001EZUQ5E	91	82	93	197	566
B001F6CDYY	4	0	3	4	17
B001FA1O1S	39	14	38	59	353
B001FVTX1U	2	1	3	7	4
B001FY0B90	169	78	93	215	979
B001GS8FZW	10	10	22	24	52
B001GS8G0G	35	40	40	68	124
B001GS8G1A	8	10	9	18	41
B001GS8G1K	12	12	11	23	71
B001GS8G1U	13	6	11	12	12
B001GXQOUU	10	5	5	20	50
B001HBH1B2	2	1	2	10	37
B001NGPAN2	97	26	20	17	24
B001OS8YMI	3	3	8	21	43
B001P8231A	1	0	1	8	20
B001PUQ7PG	20	17	11	60	110
B001PZ674C	2	3	13	34	126
B001QTXKCE	57	41	65	142	455
B001QTXKFG	85	40	49	56	133
B001RCD2DW	12	10	17	51	209
B001SAWABI	2	1	5	8	20
B001SKXWKG	6	1	3	3	4
B001TK9SEE	20	7	10	38	88
B001U9SEUS	20	4	3	5	6
B001UEBN42	232	145	213	510	1954
B001UP0C8O	0	0	5	12	38
B001VEIYAC	46	22	36	86	109
B001XURGSK	5	2	7	21	68
B0020HRHL6	6	6	4	14	29
B0028N78C0	6	6	11	25	41
B0029HI75C	1	0	1	8	19
B002ACNZFI	5	3	7	11	34
B002AQ30T0	78	55	29	85	179
B002C3OK3Q	1	2	3	18	63
B002C3VCLE	1	0	0	5	19
B002C775W0	26	11	22	53	156
B002CX0QLQ	19	9	15	21	35
B002DUE8TO	1	2	1	3	14
B002E08O9I	30	7	6	2	9
B002EOSQII	19	10	22	80	407
B002GQPT52	17	9	14	35	101
B002HEFX90	0	2	2	9	36
B002HR8HV8	40	11	6	15	38
B002IPHA1W	25	22	16	70	126
B002IPHA3U	20	6	8	44	108
B002ISTP8K	3	3	5	9	47
B002JCSG2Q	3	0	4	37	86
B002JPITYS	8	11	13	28	67
B002JTG0PO	1	0	1	6	43
B002KE87J0	0	0	0	0	2
B002KY2OU8	16	6	27	50	151
B002M78L6E	5	3	9	13	24
B002MAPSC6	1076	457	557	1147	3496
B002MVRCSI	34	35	24	53	99
B002MXXFHI	9	2	6	23	38
B002MZW5KE	1	1	3	20	51
B002ONSRA6	16	6	10	30	136
B002PK1COG	48	47	43	81	214
B002PMKG1Y	8	5	10	22	42
B002RCNX8K	172	60	97	312	1769
B002SOU2Y0	64	55	93	226	529
B002TLT10I	87	99	142	353	1094
B002UL0XH2	21	6	11	20	27
B002UL0XIQ	21	10	8	18	68
B002YPS6T6	8	9	34	132	931
B002YT8A2A	13	6	5	9	33
B0031QNP8O	16	17	19	40	82
B0033WSDYC	26	9	10	28	51
B0035JKJ2W	55	62	47	68	112
B0035VW53G	0	1	0	0	16
B00375MWE2	35	36	31	61	107
B00378KMF0	26	26	38	142	742
B00381EP54	0	0	0	1	7
B0038C5FWA	2	3	3	6	8
B00395ZQMK	48	41	43	75	189
B0039UUPH6	1	2	3	7	39
B003AIL2HE	489	345	418	684	2199
B003C2QS90	133	24	29	35	135
B003CJTR8C	349	229	249	307	913
B003CJTR8M	132	141	194	396	972
B003CP0KCS	18	10	27	43	149
B003DZ9Z78	59	43	42	120	208
B003HIVUE2	40	16	18	34	86
B003L13B6U	17	12	15	25	46
B003LPTAYI	253	281	514	1114	2783
B003OAKADA	5	3	3	6	19
B003OFADNC	16	4	7	11	80
B003P2UMQ2	7	2	4	17	42
B003S3RFIQ	94	112	84	158	312
B003VAMT28	4	5	4	6	14
B003VIWK0G	16	7	17	50	422
B003WKB810	5	3	10	10	108
B003XDE8TK	5	13	13	27	72
B003XQNWL2	8	2	3	4	20
B003Y3BFB8	15	9	14	27	46
B003YKG2UK	45	52	58	84	198
B003YKG2XW	28	22	21	44	69
B003YNRWQA	21	13	37	99	467
B003ZL916U	13	14	9	35	95
B003ZLARRW	10	6	6	17	85
B003ZLCAW2	7	7	10	24	58
B003ZPQ9LQ	19	6	10	23	48
B003ZUXX4W	10	9	11	17	47
B00422L3EY	0	2	0	2	17
B00422L3FI	0	0	0	1	5
B00422L3GW	1	0	1	5	49
B0042A68R8	16	28	47	114	380
B0043L32KC	51	21	18	37	76
B0043M6668	9	6	18	68	235
B0043M666I	3	2	0	6	39
B0043M666S	4	1	9	9	55
B0043M667M	1	1	5	9	39
B0043M667W	0	0	1	12	29
B0044779G8	86	21	69	155	613
B0044T2Q9Q	36	16	24	49	116
B0045DNX48	105	34	28	28	50
B0045EJY90	54	19	24	69	247
B0046A8R3M	7	11	9	56	206
B0049P1MRM	13	5	9	15	38
B004A91D94	15	8	7	23	28
B004AKN53K	29	11	13	23	33
B004AWE4D8	151	36	39	34	78
B004C04MHG	5	1	2	20	31
B004C04Q18	3	5	1	5	11
B004C1VX7W	3	0	3	3	17
B004DOX70O	11	9	8	11	42
B004EKO8VO	0	0	0	2	5
B004FEEY9A	26	33	63	159	831
B004FTFRCI	4	5	5	16	71
B004HD4L2E	61	71	84	140	350
B004HJ35TS	53	14	12	24	33
B004I2LDBG	0	0	1	0	13
B004I8WH9M	31	10	14	30	64
B004I8WH9W	7	3	6	12	20
B004J35A04	146	51	46	51	79
B004KCJJ4M	2	5	4	14	44
B004KZLXB6	38	10	11	14	22
B004L0JI94	63	31	45	81	285
B004L9DGCK	2	2	1	10	122
B004L9GWSK	0	2	2	5	63
B004LGQWW4	23	7	17	20	33
B004LRPXAU	7	5	10	59	258
B004LU1CA2	66	55	63	100	169
B004M8STFY	32	12	17	50	134
B004MIQ9W4	136	58	94	179	381
B004N017G4	6	3	5	6	77
B004N354N8	1	1	0	0	4
B004N80E9C	13	14	17	23	146
B004P5K6BY	3	2	3	3	6
B004PJC9QU	37	15	10	22	79
B004PYD88I	11	9	8	15	27
B004Q21I4U	5	4	10	25	49
B004Q9T78C	0	1	2	4	36
B004QJKO52	7	18	25	52	154
B004R2DLTO	29	24	19	49	144
B004ROS4IU	48	21	20	41	101
B004RPXXZS	0	1	2	8	30
B004SNCZ3K	8	10	20	41	96
B004UHWZDY	6	11	12	28	41
B004UR485M	4	3	3	6	18
B004UR486G	80	37	47	112	256
B004UR487A	16	6	7	20	90
B004US0URQ	39	21	15	40	122
B004V9G27G	25	8	10	14	31
B004VF4D9E	72	19	30	22	64
B004VFH86O	3	3	0	3	0
B004W1EXYC	36	4	11	20	46
B004W7DSLA	23	6	8	7	11
B004WOK2NK	5	1	3	13	24
B004WZVO68	33	28	63	108	406
B004X28I0A	34	35	68	179	353
B004X28II2	2	2	4	3	10
B004XW2NEW	75	51	37	62	211
B004Y4XVOK	42	39	63	128	222
B004YAVDTE	6	6	5	16	27
B004YDUZ22	97	60	72	313	3304
B004YEKI50	7	1	3	0	4
B004YI6N00	69	42	68	108	217
B004YI9HG2	16	12	13	17	92
B004YI9NTS	235	122	140	309	892
B004Z57WKW	58	21	38	36	80
B004Z57X42	34	34	48	78	153
B004Z57XPQ	58	27	49	152	429
B004Z5Z3Q2	29	17	15	39	124
B004ZEZGHO	4	3	1	4	6
B004ZP74UA	48	23	53	116	740
B0050EFAMO	12	1	5	7	14
B0050SNCN4	7	7	10	9	52
B0051PMWY6	100	52	54	139	319
B0051UOUNM	13	5	10	24	45
B0052D386S	6	2	4	1	5
B0052EECYO	40	16	22	35	110
B0052W3KCQ	3	4	3	7	15
B0053R0WWG	20	17	21	40	91
B00542NI58	8	5	3	8	5
B00542NV32	76	73	71	101	269
B0054JJ0QW	171	118	167	442	2074
B0055FZIZW	22	18	20	82	278
B0055R0YK4	23	20	14	24	53
B0056IB3DY	98	30	47	91	196
B0058M3RXW	5	4	5	16	58
B005A9ZYI4	49	17	43	48	115
B005AME3Q0	5	3	0	7	24
B005AUTSOY	6	6	8	15	21
B005BJFDL6	15	6	9	11	41
B005BT2ZZS	23	11	11	44	54
B005C3CYK4	9	10	22	31	74
B005CM9S5Y	39	18	15	18	35
B005CNR7B0	11	11	17	34	120
B005D91G38	161	82	105	224	859
B005DIBH4M	23	17	23	56	98
B005DMZKZA	5	1	6	13	12
B005E2XLNM	59	16	24	28	147
B005E2YFT6	1	4	7	25	37
B005E8MV14	5	6	4	9	42
B005E8MVV4	7	8	15	32	76
B005ELS6HE	16	14	13	30	51
B005EQS9HG	9	7	3	12	36
B005EQSB2E	2	1	7	7	28
B005F5II1I	35	19	34	51	251
B005FMBVLA	4	4	11	13	27
B005FO2D92	4	1	4	6	33
B005FSPI18	43	14	9	11	26
B005FU5JBK	23	5	10	20	19
B005FVNGS2	707	342	379	797	1756
B005G6ED2E	1	3	2	6	9
B005GNWH70	2	0	1	4	18
B005GQ6D2C	21	10	14	8	20
B005GSVN48	27	33	25	29	92
B005HMBQR2	6	4	11	30	153
B005HSDLCO	15	21	53	100	306
B005HTQAK8	26	16	35	137	596
B005HXFARS	332	146	127	365	2428
B005I2IVB0	44	49	42	63	137
B005I572LC	7	3	3	9	11
B005IIRAC0	10	7	16	33	56
B005IVYZKC	3	4	2	5	9
B005IVYZMU	2	1	7	4	7
B005J7YEW4	11	3	8	10	21
B005J8D09G	6	0	1	4	8
B005JK5O3O	37	5	9	24	211
B005JW6WQU	11	7	8	14	55
B005JXH1OG	31	26	16	25	61
B005K22JSO	118	43	35	27	64
B005LAIEN4	8	7	16	30	69
B005LAIFE2	8	9	14	25	120
B005N8W1MO	28	18	52	164	248
B005N8W214	16	19	32	59	156
B005OA3BSY	17	23	44	72	529
B005OLOIUI	70	42	58	155	612
B005OMSUOC	83	21	23	17	42
B005OU71GW	3	3	5	6	12
B005OYR9D8	64	20	19	50	111
B005Q311QI	2	6	12	24	62
B005QUQPYY	3	5	3	2	13
B005SNPTRS	7	9	16	23	69
B005SUXGY4	7	5	6	8	48
B005TOQBFK	33	5	12	17	25
B005TOV0ME	18	12	15	30	64
B005VEZ54Q	79	55	60	111	281
B005VEZ550	306	177	140	243	631
B005W0UV2K	22	3	3	8	14
B005W1D6ZS	4	7	4	10	23
B005WSCPTO	42	17	16	34	30
B005XPFYBM	13	16	29	64	99
B005XQU5CO	2	1	1	2	9
B005YR0X4W	15	15	27	42	43
B005YXXS4I	7	6	3	16	60
B005YXXTDS	6	14	14	26	112
B005ZC4MM0	4	2	4	6	17
B00604YSNU	27	11	9	24	31
B0062IMDBI	15	4	6	18	40
B0062IMDDG	15	12	4	15	37
B0062IMDE0	20	9	8	5	23
B0062IMENK	24	9	7	11	42
B0062IMERQ	30	19	21	42	79
B00631YX62	6	0	3	10	109
B00633U7CO	23	8	16	20	37
B00647H30S	1	4	4	4	14
B0064XTQ98	32	15	25	28	103
B00684H6ZY	8	0	6	9	44
B006B2K1GE	4	4	6	7	14
B006BUVP5M	32	23	23	64	225
B006K3CM4S	9	6	9	42	226
B006MA9XXM	7	7	16	20	82
B006NRXWQI	35	11	10	35	109
B006O70ZR6	25	7	19	51	108
B006O711RE	13	15	26	57	187
B006O711V0	18	9	9	60	180
B006QR8W6K	21	16	20	41	123
B006RG232O	9	9	10	10	22
B006RG23I8	7	7	2	13	22
B006RG23JC	74	36	33	74	161
B006RUIWC0	1	7	11	18	57
B006SUWZH2	26	13	13	32	63
B006T9ZKAQ	184	104	181	245	627
B006U1VH2S	86	34	62	196	586
B006U8CZNQ	39	19	16	35	95
B006VJQ2OM	75	66	59	88	186
B006WHPQCM	5	14	16	22	42
B006XA7J3C	2	1	0	0	4
B00703BI1A	1	0	0	0	2
B00703BOV4	119	51	83	176	325
B007136B84	10	5	13	46	141
B007136DNW	71	31	41	56	189
B007136E1S	154	65	62	100	356
B007136EBI	138	68	71	110	392
B0071BANRG	4	2	1	1	6
B0071I3MUY	145	49	67	109	227
B0071I3RWM	37	18	15	17	25
B0071MSYEE	2	0	1	5	27
B0071VO3GI	29	11	11	13	38
B00721Z1AE	48	30	41	71	150
B0072LEKMO	18	7	16	28	45
B0073GLD2I	0	0	0	5	6
B0073VC9YY	11	6	2	8	8
B0073XY5LC	18	27	15	50	141
B00740BERM	13	10	11	18	26
B0074V0A1C	0	0	0	0	22
B0076NDV0U	9	13	14	21	39
B0077PNA1W	21	9	5	8	9
B0077V88V8	98	47	49	187	555
B0079LE43W	18	17	25	47	123
B0079MSP0O	1	0	3	1	4
B007B5QQ96	34	29	42	55	79
B007B5QVKA	2	3	3	5	13
B007B5QVTG	5	4	0	2	8
B007B5TOZY	26	12	12	45	76
B007B5TPEY	6	9	2	4	21
B007B5WHTE	86	86	126	209	329
B007B61GAO	30	14	19	58	170
B007BGGDXY	9	7	3	14	3
B007CU56X2	14	10	15	33	115
B007EQI9X8	26	14	15	30	72
B007FETOK6	6	6	7	7	12
B007FI6ITM	10	5	3	4	14
B007FI9AWO	16	13	9	15	25
B007FQNK8G	92	40	53	85	189
B007FQNL08	369	107	75	129	430
B007FSZKBY	6	1	0	3	4
B007H1ZCB2	7	5	7	18	52
B007H3L24Q	12	9	12	18	21
B007H4JW7Y	2	2	3	6	17
B007HISSXE	11	16	30	57	189
B007HSOAYU	3	0	4	3	16
B007IIRHE4	2	2	1	3	10
B007IPZDNO	31	14	18	34	124
B007JCMDA2	102	70	25	79	159
B007JG54DG	3	2	9	6	10
B007K3SB6K	8	10	11	31	38
B007K5H4Z2	59	29	51	64	123
B007KFEOJ6	2	3	1	3	3
B007KFEOZK	22	14	25	65	278
B007KFLVTM	115	57	62	142	558
B007KFLVW4	17	9	4	21	74
B007KWLF5K	42	38	41	81	197
B007PU5526	76	12	12	21	62
B007PYG5GM	9	0	1	2	5
B007R3Y2V6	41	19	19	12	37
B007R6HUBM	34	17	6	5	38
B007S71O2G	8	2	1	1	2
B007T9BY5U	0	0	1	2	15
B007XOQI4S	26	22	30	74	228
B007Y6KR0Q	2	4	5	4	21
B0080SIJD4	7	6	9	24	77
B0081IKTN6	35	36	68	209	710
B00826L4G8	6	8	6	21	30
B0082E9K7U	316	126	149	370	1575
B0083ZGEBI	21	9	4	13	12
B00845RYP2	5	2	1	1	10
B0084OIY0M	113	75	79	207	1248
B00852TZ56	25	4	6	19	69
B00856XG66	8	10	12	20	40
B00858I4JI	17	6	2	4	8
B0085H18W4	33	26	38	93	195
B008658FRG	58	33	40	62	85
B00865V3N4	69	33	48	44	99
B00868HUEW	9	7	5	5	19
B0088LEVI0	36	9	6	5	9
B00890YNBK	3	2	4	5	34
B008DCOVUC	15	8	12	17	48
B008EQ1ZGA	9	8	3	24	75
B008ET9VY0	16	8	3	14	23
B008JCVGT0	159	64	125	335	2025
B008KP4MQU	55	42	51	126	155
B008O37FOE	1	0	2	6	41
B008P8EJ1K	12	1	2	4	6
B008P8ELDQ	29	13	4	25	61
B008PEXMNK	102	106	102	206	374
B008RQEEBU	230	57	61	137	243
B008VMT2HQ	151	101	122	282	933
B008X1C65A	9	10	10	21	79
B008YUNK46	13	9	10	54	266
B0090IA4KE	1	0	0	5	20
B0090JEB34	7	3	8	5	17
B0090Z3SPU	37	31	51	137	709
B0091DR5DC	2	3	7	3	4
B0091TA5EW	3	6	9	15	30
B0094R2GOI	26	23	21	33	67
B0094R2HZQ	48	48	33	57	115
B0094R4150	10	5	6	12	34
B0094R4POC	77	74	87	191	466
B0094R4Q6Y	66	59	82	128	276
B00965HLFW	1	0	2	7	26
B00965J7HM	0	3	1	9	12
B0096T7TQE	59	31	59	126	507
B0097JLQVC	113	73	152	284	1055
B0097OUANC	4	2	2	6	15
B0098FAH7O	3	4	2	12	44
B0098QQOMK	20	14	24	42	141
B009APBWD0	8	8	8	9	17
B009AYLDSU	100	65	93	303	1546
B009AZSYC2	29	14	24	62	96
B009B0RK3K	7	8	6	15	36
B009C3CHIY	23	10	14	17	37
B009C3CJAK	30	15	9	38	60
B009CP99GK	5	4	7	23	64
B009DJEKJG	18	13	21	39	128
B009EIUH6G	130	83	96	185	333
B009ES68P0	7	6	7	22	40
B009GLX6X2	15	3	5	5	10
B009GUQZ9U	18	3	6	25	40
B009HB2USI	37	18	14	33	95
B009HL556M	10	2	9	20	39
B009HL5594	42	26	21	49	253
B009HQTORS	16	14	25	64	146
B009IKCE5C	10	13	12	16	46
B009IKCHU4	3	0	6	3	8
B009IUIV4A	24	28	41	92	583
B009JBZFVK	15	13	13	39	185
B009KNO1IU	11	9	6	9	23
B009KOTNA0	4	3	5	15	24
B009LH9SMO	16	10	10	36	80
B009OBCAW2	153	114	121	162	505
B009OCBBGW	39	33	38	124	347
B009QSMRG2	30	18	10	11	50
B009QV15DU	46	57	91	216	622
B009RXUCDG	32	21	23	44	110
B009RYPLRC	32	21	21	14	52
B009S8QP90	9	2	9	26	110
B009WNUB3M	77	73	62	67	221
B009WVN85C	1	2	1	6	44
B009YP274O	53	21	20	36	75
B00A1VSO9W	4	2	4	7	10
B00A44RLWC	11	18	26	47	102
B00A4A3SNW	32	19	24	36	63
B00A6HL5OM	1	1	0	2	13
B00A6THUHQ	63	23	20	18	41
B00A755TIQ	3	1	6	6	11
B00A8EIO2E	3	1	7	13	64
B00AAFD0O8	6	5	10	11	45
B00AAHTQ30	30	17	20	18	29
B00ADP2O74	4	2	3	2	25
B00AEMGGU2	89	56	60	132	736
B00AERGRXS	9	10	14	39	79
B00AF56QA8	98	57	94	246	689
B00AIGZ72C	21	7	12	18	84
B00AJD0H6K	19	3	2	2	10
B00AJD0H88	11	6	6	16	22
B00AJD0H8I	25	10	13	13	25
B00AKEE2O6	9	10	9	17	28
B00AN8T1LI	0	2	2	1	5
B00ANSXRN6	85	25	20	27	50
B00APOQETM	0	2	0	0	6
B00AQ2BRXQ	33	24	20	19	44
B00AWLEAH6	37	40	40	66	140
B00AWRD0S0	4	2	2	0	3
B00AWRPIWQ	33	22	52	99	372
B00AWTW480	33	22	13	23	70
B00AY98USQ	9	8	11	30	112
B00AZW2YI4	3	2	1	1	3
B00AZW2YKC	3	7	4	9	17
B00B1NN16U	33	30	26	28	193
B00B1NN1L0	9	7	10	13	58
B00B2A3GRG	34	17	18	43	130
B00B2G3R5G	7	9	12	32	125
B00B3QD94O	7	5	15	20	145
B00B3ZB9A6	15	9	9	21	34
B00B4RCHWW	3	0	2	8	13
B00B5448H6	1	3	7	8	37
B00B71FJV6	18	11	9	26	106
B00B79CEYI	14	12	9	13	36
B00B7X2OV2	33	21	15	56	159
B00B7X2OW6	19	7	13	38	83
B00B7XYXA2	21	28	33	76	257
B00B812KBM	0	0	2	1	4
B00B8PRRTI	48	30	54	97	312
B00B8PRRTS	80	49	65	129	429
B00B8QCMHY	73	70	104	144	289
B00B981F1U	62	33	28	137	456
B00B9AB26G	20	6	6	18	62
B00BAOX6C4	2	2	4	14	23
B00BAQJ94Q	25	16	28	59	339
B00BAQKWIS	9	2	5	26	57
B00BB5WC8Q	77	68	50	111	330
B00BBQDDXS	33	29	20	58	135
B00BCA40S0	618	260	237	454	1388
B00BCA4116	383	159	287	619	1524
B00BCSYZSW	169	73	120	215	387
B00BCSYZTQ	16	15	7	9	7
B00BCSYZZA	21	11	13	29	67
B00BDRX7ZE	17	6	9	15	21
B00BDS079W	39	19	17	42	99
B00BEPFDOS	4	1	1	1	5
B00BGZVI9K	4	0	3	8	59
B00BHC7ZTE	51	18	25	101	292
B00BI22U3O	103	53	59	83	200
B00BIP816Q	21	17	39	121	285
B00BJ17WKK	72	56	79	132	579
B00BKXCKP4	17	5	8	25	35
B00BKXCKPY	14	4	3	7	10
B00BKXCKRC	29	12	11	35	70
B00BLCLURI	16	12	29	116	432
B00BLCLVBS	16	14	25	49	184
B00BLG5CSC	118	82	79	111	318
B00BLG5CSM	87	59	44	95	212
B00BLGUKEI	21	17	10	21	52
B00BLGUKFC	16	8	13	24	62
B00BOZGRZC	1	1	1	8	17
B00BOZGSQ0	1	0	0	3	11
B00BQ4HR9Q	12	5	7	19	60
B00BQ4HRG4	18	12	20	41	146
B00BQ4HRL4	4	4	2	5	13
B00BQ5RV00	14	6	15	13	21
B00BQ5RY1G	183	91	94	174	494
B00BQ5RYI4	298	191	199	484	1207
B00BQ8R76K	4	2	4	4	12
B00BQHCCQQ	3	3	4	17	54
B00BQME3P4	19	7	11	9	16
B00BQO4UXW	195	77	57	133	241
B00BQO56Z8	4	2	6	10	41
B00BQONU0G	30	3	8	10	25
B00BQOO3XO	4	1	1	6	6
B00BSWZWM0	1	2	5	13	20
B00BSXRBGE	58	26	33	69	90
B00BTYOL38	8	15	12	13	22
B00BW0X6C6	1	0	1	3	6
